sampleTimeStamp.seconds;sampleTimeStamp.microseconds;lat;lon;speed;accel_x;accel_y;accel_z
90066559;995772;37.718818046;1.957740609;8.236827;-0.6405057;-0.2720892;0.1493738
90066560;45755;37.718819197;1.957734009;8.278438;-0.8955051;0.03089818;0.3788391
90066560;95748;37.718820352;1.957727381;8.308788;-0.4741646;0.1335351;-0.01213346
90066560;145766;37.71882151;1.957720726;8.339656;-0.4869518;0.04312119;0.1475875
90066560;195761;37.718822673;1.957714046;8.373837;-0.807313;0.1104003;0.2268486
90066560;245749;37.718823842;1.957707341;8.410177;-0.6785382;0.1772714;0.128892
90066560;295738;37.718825013;1.957700611;8.446285;-0.7106909;0.04489739;0.09880541
90066560;345716;37.718826188;1.957693851;8.483789;-0.693607;0.002213377;-0.03905606
90066560;395727;37.718827367;1.957687062;8.518458;-0.6681007;0.1059686;0.240604
90066560;446065;37.718828551;1.957680244;8.551568;-0.6546802;-0.05257115;0.319241
90066560;495768;37.718829738;1.957673401;8.586079;-0.588991;-0.03352649;0.1538842
90066560;545770;37.718830931;1.957666529;8.622181;-0.7722476;-0.2319096;0.01757306
90066560;595715;37.71883213;1.957659627;8.66284;-0.82306;0.04258865;0.2493878
90066560;645741;37.718833335;1.957652695;8.702814;-0.6902149;0.1170234;0.08530517
90066560;695757;37.718834545;1.957645727;8.744218;-0.7341855;-0.1248637;-0.3680669
90066560;745769;37.718835762;1.957638726;8.78913;-0.9392875;0.1249648;-0.05738261
90066560;795791;37.718836985;1.957631687;8.839737;-0.7697855;0.03586259;0.07926571
90066560;845775;37.718838215;1.957624609;8.889999;-1.180896;0.3182678;0.7564836
90066560;895761;37.71883945;1.95761749;8.931522;-0.6402035;0.00539643;-0.4607555
90066560;945749;37.718840692;1.95761034;8.976196;-0.7733266;-0.2422221;-0.01239209
90066560;995781;37.718841942;1.957603157;9.01697;-0.7944298;-0.3528878;0.0428559
90066561;45743;37.718843202;1.957595943;9.058735;-0.9086934;-0.1933178;-0.255518
90066561;95736;37.718844471;1.957588702;9.088924;-0.6736128;-0.03172576;-0.1332885
90066561;145816;37.718845743;1.95758143;9.134334;-0.9142693;0.1142377;0.1439188
90066561;195802;37.71884702;1.957574126;9.174377;-0.9942642;0.5081977;0.3658292
90066561;245788;37.718848297;1.957566785;9.211774;-0.6786137;-0.0174919;-0.1269067
90066561;295787;37.718849578;1.957559418;9.2522;-0.6814017;-0.3569675;-0.338606
90066561;345840;37.718850865;1.957552018;9.290478;-0.7629104;-0.2772973;0.1025205
90066561;395763;37.718852161;1.957544587;9.340197;-1.184417;0.1991234;0.8107358
90066561;446128;37.718853462;1.957537118;9.379828;-0.8023718;-0.5896434;-0.3957461
90066561;495766;37.718854771;1.957529618;9.425011;-0.9366568;-0.01327511;0.1113846
90066561;545766;37.718856087;1.957522083;9.466638;-1.007683;0.2671112;0.115238
90066561;595771;37.718857409;1.957514515;9.506785;-0.8419622;0.1695411;-0.287795
90066561;645765;37.718858734;1.957506913;9.547189;-0.7876744;-0.02344785;-0.3345003
90066561;695754;37.718860064;1.957499275;9.593558;-0.8659795;0.1876944;-0.0861932
90066561;745775;37.718861401;1.957491601;9.640034;-0.9256217;-0.05288299;0.1604948
90066561;795865;37.718862746;1.957483892;9.686767;-0.9985169;-0.1002644;0.2308758
90066561;845755;37.718864098;1.957476146;9.732168;-0.7845778;-0.3884065;-0.206656
90066561;895771;37.718865457;1.957468366;9.773517;-0.855639;-0.1636181;-0.175594
90066561;945795;37.718866824;1.957460556;9.809526;-0.940336;-0.05870843;-0.2513388
90066561;995844;37.718868196;1.957452719;9.844275;-0.8739558;-0.06284703;-0.1031935
90066562;45767;37.718869573;1.957444854;9.879382;-0.7384994;-0.02205174;-0.1608014
90066562;95798;37.718870955;1.957436959;9.915777;-0.791798;-0.0656228;0.03968802
90066562;145841;37.718872342;1.957429036;9.950811;-0.662474;-0.09655276;-0.07836297
90066562;195840;37.718873733;1.957421085;9.987533;-0.8418716;0.07689697;-0.1752954
90066562;245774;37.718875128;1.957413108;10.02304;-0.7767482;0.0148055;0.06198277
90066562;295805;37.718876524;1.957405112;10.0569;-0.8207978;-0.02063882;0.04037688
90066562;345804;37.718877924;1.957397089;10.08847;-0.8311242;-0.1151562;-0.3907268
